as_of_month,cut,alert_rate,precision,recall,alerts
2024-08-31,0.005,0.6066,0.02126607319485658,0.9214285714285714,6066
2024-08-31,0.01,0.1931,0.05541170378042465,0.7642857142857142,1931
2024-08-31,0.015,0.1019,0.09126594700686948,0.6642857142857143,1019
2024-08-31,0.02,0.0815,0.1116564417177914,0.65,815
2024-08-31,0.025,0.0656,0.13414634146341464,0.6285714285714286,656
2024-08-31,0.030000000000000002,0.0612,0.14215686274509803,0.6214285714285714,612
2024-08-31,0.034999999999999996,0.0589,0.1460101867572156,0.6142857142857143,589
2024-08-31,0.04,0.0527,0.15749525616698293,0.5928571428571429,527
2024-08-31,0.045,0.0457,0.18161925601750548,0.5928571428571429,457
2024-08-31,0.049999999999999996,0.043,0.19069767441860466,0.5857142857142857,430
2024-08-31,0.055,0.0415,0.19518072289156627,0.5785714285714286,415
2024-08-31,0.06,0.0414,0.1956521739130435,0.5785714285714286,414
2024-08-31,0.065,0.0409,0.19559902200489,0.5714285714285714,409
2024-08-31,0.07,0.0401,0.1970074812967581,0.5642857142857143,401
2024-08-31,0.07500000000000001,0.0391,0.2020460358056266,0.5642857142857143,391
2024-08-31,0.08,0.0372,0.20430107526881722,0.5428571428571428,372
2024-08-31,0.085,0.0351,0.21082621082621084,0.5285714285714286,351
2024-08-31,0.09000000000000001,0.0336,0.21726190476190477,0.5214285714285715,336
2024-08-31,0.095,0.0327,0.22324159021406728,0.5214285714285715,327
2024-08-31,0.1,0.0315,0.22857142857142856,0.5142857142857142,315
2024-09-30,0.005,0.6051,0.022310361923648984,0.9121621621621622,6051
2024-09-30,0.01,0.1958,0.052604698672114404,0.6959459459459459,1958
2024-09-30,0.015,0.1068,0.09082397003745318,0.6554054054054054,1068
2024-09-30,0.02,0.085,0.10705882352941176,0.6148648648648649,850
2024-09-30,0.025,0.0674,0.12759643916913946,0.581081081081081,674
2024-09-30,0.030000000000000002,0.0624,0.1330128205128205,0.5608108108108109,624
2024-09-30,0.034999999999999996,0.0606,0.13696369636963696,0.5608108108108109,606
2024-09-30,0.04,0.0557,0.14542190305206462,0.5472972972972973,557
2024-09-30,0.045,0.0488,0.16188524590163936,0.5337837837837838,488
2024-09-30,0.049999999999999996,0.0451,0.17516629711751663,0.5337837837837838,451
2024-09-30,0.055,0.0439,0.17995444191343962,0.5337837837837838,439
2024-09-30,0.06,0.0435,0.18160919540229886,0.5337837837837838,435
2024-09-30,0.065,0.0429,0.18414918414918416,0.5337837837837838,429
2024-09-30,0.07,0.0416,0.1875,0.527027027027027,416
2024-09-30,0.07500000000000001,0.0403,0.18858560794044665,0.5135135135135135,403
2024-09-30,0.08,0.0381,0.1942257217847769,0.5,381
2024-09-30,0.085,0.0358,0.2011173184357542,0.4864864864864865,358
2024-09-30,0.09000000000000001,0.0348,0.20402298850574713,0.4797297297297297,348
2024-09-30,0.095,0.0333,0.2132132132132132,0.4797297297297297,333
2024-09-30,0.1,0.032,0.21875,0.47297297297297297,320
2024-10-31,0.005,0.6121,0.02058487175298154,0.9333333333333333,6121
2024-10-31,0.01,0.1918,0.043795620437956206,0.6222222222222222,1918
2024-10-31,0.015,0.0997,0.06920762286860582,0.5111111111111111,997
2024-10-31,0.02,0.0806,0.08064516129032258,0.48148148148148145,806
2024-10-31,0.025,0.0644,0.09627329192546584,0.45925925925925926,644
2024-10-31,0.030000000000000002,0.0586,0.10238907849829351,0.4444444444444444,586
2024-10-31,0.034999999999999996,0.0552,0.10507246376811594,0.42962962962962964,552
2024-10-31,0.04,0.0508,0.11023622047244094,0.4148148148148148,508
2024-10-31,0.045,0.0441,0.12244897959183673,0.4,441
2024-10-31,0.049999999999999996,0.0412,0.13106796116504854,0.4,412
2024-10-31,0.055,0.0399,0.13283208020050125,0.3925925925925926,399
